0,1,2,3,4,5,6,7,8,9,10
long life bakery product,butter milk,,,,,,,,,
rolls/buns,chocolate,,,,,,,,,
domestic eggs,rolls/buns,,,,,,,,,
rolls/buns,other vegetables,,,,,,,,,
onions,frozen vegetables,curd,,,,,,,,
beef,newspapers,misc. beverages,,,,,,,,
liver loaf,fruit/vegetable juice,,,,,,,,,
yogurt,rolls/buns,,,,,,,,,
domestic eggs,berries,,,,,,,,,
brown bread,whole milk,spread cheese,butter,fruit/vegetable juice,,,,,,
bottled beer,semi-finished bread,,,,,,,,,
domestic eggs,sugar,,,,,,,,,
sausage,chicken,margarine,yogurt,,,,,,,
soda,root vegetables,semi-finished bread,,,,,,,,
rolls/buns,bottled water,whole milk,,,,,,,,
fruit/vegetable juice,long life bakery product,,,,,,,,,
tropical fruit,rolls/buns,candy,,,,,,,,
butter milk,canned beer,,,,,,,,,
soda,root vegetables,,,,,,,,,
newspapers,cat food,,,,,,,,,
other vegetables,soda,,,,,,,,,
whole milk,pip fruit,,,,,,,,,
root vegetables,processed cheese,yogurt,,,,,,,,
sausage,curd,,,,,,,,,
candy,berries,mustard,,,,,,,,
pastry,waffles,,,,,,,,,
chocolate,other vegetables,,,,,,,,,
specialty bar,misc. beverages,,,,,,,,,
ice cream,other vegetables,,,,,,,,,
citrus fruit,sparkling wine,bottled water,,,,,,,,
root vegetables,soda,,,,,,,,,
sausage,root vegetables,,,,,,,,,
other vegetables,pip fruit,napkins,,,,,,,,
margarine,cereals,,,,,,,,,
whole milk,beef,tropical fruit,tropical fruit,whole milk,domestic eggs,coffee,other vegetables,,,
Instant food products,pip fruit,,,,,,,,,
other vegetables,canned fish,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
butter,onions,butter milk,,,,,,,,
citrus fruit,whole milk,pastry,other vegetables,,,,,,,
fruit/vegetable juice,salt,,,,,,,,,
bottled beer,hygiene articles,,,,,,,,,
tropical fruit,root vegetables,,,,,,,,,
bottled beer,nut snack,,,,,,,,,
rolls/buns,other vegetables,,,,,,,,,
rolls/buns,canned vegetables,cat food,,,,,,,,
pork,citrus fruit,UHT-milk,dessert,,,,,,,
root vegetables,soda,,,,,,,,,
bottled water,citrus fruit,butter,whole milk,,,,,,,
pip fruit,whipped/sour cream,,,,,,,,,
canned beer,whole milk,,,,,,,,,
dessert,soda,,,,,,,,,
citrus fruit,whole milk,bottled beer,,,,,,,,
sausage,soda,curd,house keeping products,,,,,,,
other vegetables,mustard,soups,,,,,,,,
dessert,curd,whole milk,bottled water,,,,,,,
yogurt,whole milk,,,,,,,,,
frankfurter,pip fruit,rolls/buns,onions,,,,,,,
